CPU 3 is empty
cpus=4
             ssh-24203 [001] 76740.104178: funcgraph_exit:         9.900 us   |    }
             ssh-24203 [001] 76740.104178: funcgraph_exit:       ! 100.416 us |  }
             ssh-24203 [001] 76740.105625: funcgraph_entry:                   |  ksys_ioctl() {
             ssh-24203 [001] 76740.105626: funcgraph_entry:                   |    __fdget() {
             ssh-24203 [001] 76740.105626: funcgraph_entry:        0.195 us   |      __fget_light();
             ssh-24203 [001] 76740.105627: funcgraph_exit:         0.600 us   |    }
             ssh-24203 [001] 76740.105627: funcgraph_entry:        0.232 us   |    security_file_ioctl();
             ssh-24203 [001] 76740.105628: funcgraph_entry:                   |    do_vfs_ioctl() {
             ssh-24203 [001] 76740.105628: funcgraph_entry:                   |      sock_ioctl() {
             ssh-24203 [001] 76740.105628: funcgraph_entry:                   |        sock_do_ioctl() {
             ssh-24203 [001] 76740.105628: funcgraph_entry:                   |          inet_ioctl() {
             ssh-24203 [001] 76740.105629: funcgraph_entry:                   |            udp_ioctl() {
             ssh-24203 [001] 76740.105629: funcgraph_entry:                   |              first_packet_length() {
             ssh-24203 [001] 76740.105629: funcgraph_entry:                   |                _raw_spin_lock_bh() {
             ssh-24203 [001] 76740.105629: funcgraph_entry:        0.182 us   |                  preempt_count_add();
             ssh-24203 [001] 76740.105630: funcgraph_exit:         0.482 us   |                }
             ssh-24203 [001] 76740.105630: funcgraph_entry:        0.157 us   |                __first_packet_length.part.3();
             ssh-24203 [001] 76740.105630: funcgraph_entry:                   |                _raw_spin_lock() {
             ssh-24203 [001] 76740.105630: funcgraph_entry:        0.164 us   |                  preempt_count_add();
             ssh-24203 [001] 76740.105631: funcgraph_exit:         0.485 us   |                }
             ssh-24203 [001] 76740.105631: funcgraph_entry:                   |                _raw_spin_unlock() {
             ssh-24203 [001] 76740.105631: funcgraph_entry:        0.161 us   |                  preempt_count_sub();
             ssh-24203 [001] 76740.105631: funcgraph_exit:         0.484 us   |                }
             ssh-24203 [001] 76740.105631: funcgraph_entry:                   |                __first_packet_length.part.3() {
             ssh-24203 [001] 76740.105632: funcgraph_entry:        0.160 us   |                  udp_set_dev_scratch();
             ssh-24203 [001] 76740.105632: funcgraph_exit:         0.614 us   |                }
             ssh-24203 [001] 76740.105632: funcgraph_entry:                   |                _raw_spin_unlock_bh() {
             ssh-24203 [001] 76740.105632: funcgraph_entry:                   |                  __local_bh_enable_ip() {
             ssh-24203 [001] 76740.105632: funcgraph_entry:        0.160 us   |                    preempt_count_sub();
             ssh-24203 [001] 76740.105633: funcgraph_entry:        0.152 us   |                    preempt_count_sub();
             ssh-24203 [001] 76740.105633: funcgraph_exit:         0.852 us   |                  }
