CPU 1 is empty
CPU 2 is empty
cpus=4
             ssh-24099 [003] 76622.720781: funcgraph_exit:         2.210 us   |                          }
             ssh-24099 [003] 76622.720781: funcgraph_exit:         7.831 us   |                        }
             ssh-24099 [003] 76622.720781: funcgraph_exit:         8.677 us   |                      }
             ssh-24099 [003] 76622.720782: funcgraph_entry:                   |                      __wake_up() {
             ssh-24099 [003] 76622.720783: funcgraph_entry:                   |                        __wake_up_common_lock() {
             ssh-24099 [003] 76622.720783: funcgraph_entry:                   |                          __lock_text_start() {
             ssh-24099 [003] 76622.720784: funcgraph_entry:        0.529 us   |                            preempt_count_add();
             ssh-24099 [003] 76622.720785: funcgraph_exit:         1.849 us   |                          }
             ssh-24099 [003] 76622.720786: funcgraph_entry:        0.789 us   |                          __wake_up_common();
             ssh-24099 [003] 76622.720787: funcgraph_entry:                   |                          _raw_spin_unlock_irqrestore() {
             ssh-24099 [003] 76622.720787: funcgraph_entry:        0.443 us   |                            preempt_count_sub();
             ssh-24099 [003] 76622.720788: funcgraph_exit:         1.260 us   |                          }
             ssh-24099 [003] 76622.720788: funcgraph_exit:         5.864 us   |                        }
             ssh-24099 [003] 76622.720789: funcgraph_exit:         6.769 us   |                      }
             ssh-24099 [003] 76622.720789: funcgraph_entry:                   |                      irq_exit() {
             ssh-24099 [003] 76622.720790: funcgraph_entry:        0.594 us   |                        irqtime_account_irq();
             ssh-24099 [003] 76622.720791: funcgraph_entry:        0.419 us   |                        preempt_count_sub();
             ssh-24099 [003] 76622.720792: funcgraph_entry:        0.468 us   |                        idle_cpu();
             ssh-24099 [003] 76622.720793: funcgraph_entry:        0.449 us   |                        rcu_irq_exit();
             ssh-24099 [003] 76622.720793: funcgraph_exit:         4.088 us   |                      }
             ssh-24099 [003] 76622.720794: funcgraph_exit:       + 26.098 us  |                    }
             ssh-24099 [003] 76622.720795: funcgraph_entry:                   |                    smp_irq_work_interrupt() {
             ssh-24099 [003] 76622.720795: funcgraph_entry:                   |                      irq_enter() {
             ssh-24099 [003] 76622.720796: funcgraph_entry:        0.529 us   |                        rcu_irq_enter();
             ssh-24099 [003] 76622.720797: funcgraph_entry:        0.564 us   |                        irqtime_account_irq();
             ssh-24099 [003] 76622.720798: funcgraph_entry:        0.513 us   |                        preempt_count_add();
             ssh-24099 [003] 76622.720799: funcgraph_exit:         3.599 us   |                      }
             ssh-24099 [003] 76622.720799: funcgraph_entry:                   |                      __wake_up() {
             ssh-24099 [003] 76622.720800: funcgraph_entry:                   |                        __wake_up_common_lock() {
             ssh-24099 [003] 76622.720800: funcgraph_entry:                   |                          __lock_text_start() {
             ssh-24099 [003] 76622.720801: funcgraph_entry:        0.482 us   |                            preempt_count_add();
             ssh-24099 [003] 76622.720802: funcgraph_exit:         1.277 us   |                          }
             ssh-24099 [003] 76622.720802: funcgraph_entry:        0.469 us   |                          __wake_up_common();
             ssh-24099 [003] 76622.720803: funcgraph_entry:                   |                          _raw_spin_unlock_irqrestore() {
             ssh-24099 [003] 76622.720803: funcgraph_entry:        0.519 us   |                            preempt_count_sub();
             ssh-24099 [003] 76622.720804: funcgraph_exit:         1.411 us   |                          }
             ssh-24099 [003] 76622.720805: funcgraph_exit:         4.930 us   |                        }
             ssh-24099 [003] 76622.720805: funcgraph_exit:         5.759 us   |                      }
             ssh-24099 [003] 76622.720806: funcgraph_entry:                   |                      irq_exit() {
             ssh-24099 [003] 76622.720806: funcgraph_entry:        0.557 us   |                        irqtime_account_irq();
             ssh-24099 [003] 76622.720807: funcgraph_entry:        0.456 us   |                        preempt_count_sub();
             ssh-24099 [003] 76622.720808: funcgraph_entry:        0.443 us   |                        idle_cpu();
             ssh-24099 [003] 76622.720809: funcgraph_entry:        0.482 us   |                        rcu_irq_exit();
             ssh-24099 [003] 76622.720810: funcgraph_exit:         4.203 us   |                      }
             ssh-24099 [003] 76622.720810: funcgraph_exit:       + 15.496 us  |                    }
             ssh-24099 [003] 76622.720811: funcgraph_entry:        0.521 us   |                    preempt_count_sub();
             ssh-24099 [003] 76622.720812: funcgraph_exit:       ! 206.466 us |                  }
             ssh-24099 [003] 76622.819798: funcgraph_exit:         0.228 us   |                                        }
             ssh-24099 [003] 76622.819799: funcgraph_exit:       + 11.571 us  |                                      }
             ssh-24099 [003] 76622.819799: funcgraph_exit:       + 15.476 us  |                                    }
             ssh-24099 [003] 76622.819799: funcgraph_entry:                   |                                    ttwu_do_wakeup.isra.4() {
             ssh-24099 [003] 76622.819799: funcgraph_entry:                   |                                      check_preempt_curr() {
             ssh-24099 [003] 76622.819800: funcgraph_entry:        0.370 us   |                                        resched_curr();
             ssh-24099 [003] 76622.819800: funcgraph_exit:         1.129 us   |                                      }
             ssh-24099 [003] 76622.819801: funcgraph_exit:         2.335 us   |                                    }
             ssh-24099 [003] 76622.819802: funcgraph_exit:       + 18.514 us  |                                  }
             ssh-24099 [003] 76622.819802: funcgraph_entry:                   |                                  _raw_spin_unlock() {
             ssh-24099 [003] 76622.819802: funcgraph_entry:        0.313 us   |                                    preempt_count_sub();
             ssh-24099 [003] 76622.819803: funcgraph_exit:         0.818 us   |                                  }
             ssh-24099 [003] 76622.819803: funcgraph_entry:        0.381 us   |                                  ttwu_stat();
             ssh-24099 [003] 76622.819803: funcgraph_entry:                   |                                  _raw_spin_unlock_irqrestore() {
             ssh-24099 [003] 76622.819804: funcgraph_entry:        0.226 us   |                                    preempt_count_sub();
             ssh-24099 [003] 76622.819804: funcgraph_exit:         0.860 us   |                                  }
             ssh-24099 [003] 76622.819804: funcgraph_exit:       + 29.925 us  |                                }
             ssh-24099 [003] 76622.819805: funcgraph_exit:       + 30.382 us  |                              }
             ssh-24099 [003] 76622.819805: funcgraph_exit:       + 30.935 us  |                            }
             ssh-24099 [003] 76622.819805: funcgraph_entry:                   |                            autoremove_wake_function() {
             ssh-24099 [003] 76622.819806: funcgraph_entry:                   |                              default_wake_function() {
             ssh-24099 [003] 76622.819806: funcgraph_entry:                   |                                try_to_wake_up() {
             ssh-24099 [003] 76622.819806: funcgraph_entry:                   |                                  __lock_text_start() {
             ssh-24099 [003] 76622.819806: funcgraph_entry:        0.306 us   |                                    preempt_count_add();
             ssh-24099 [003] 76622.819807: funcgraph_exit:         0.979 us   |                                  }
             ssh-24099 [003] 76622.819807: funcgraph_entry:                   |                                  select_task_rq_fair() {
             ssh-24099 [003] 76622.819808: funcgraph_entry:        0.219 us   |                                    __rcu_read_lock();
             ssh-24099 [003] 76622.819808: funcgraph_entry:        0.281 us   |                                    available_idle_cpu();
             ssh-24099 [003] 76622.819809: funcgraph_entry:        0.298 us   |                                    update_cfs_rq_h_load();
             ssh-24099 [003] 76622.819810: funcgraph_entry:                   |                                    select_idle_sibling() {
             ssh-24099 [003] 76622.819810: funcgraph_entry:        0.244 us   |                                      available_idle_cpu();
             ssh-24099 [003] 76622.819810: funcgraph_exit:         0.787 us   |                                    }
             ssh-24099 [003] 76622.819811: funcgraph_entry:        0.245 us   |                                    __rcu_read_unlock();
             ssh-24099 [003] 76622.819811: funcgraph_exit:         3.752 us   |                                  }
             ssh-24099 [003] 76622.819811: funcgraph_entry:                   |                                  _raw_spin_lock() {
             ssh-24099 [003] 76622.819811: funcgraph_entry:        0.219 us   |                                    preempt_count_add();
             ssh-24099 [003] 76622.819812: funcgraph_exit:         0.631 us   |                                  }
             ssh-24099 [003] 76622.819812: funcgraph_entry:        0.284 us   |                                  update_rq_clock();
             ssh-24099 [003] 76622.819813: funcgraph_entry:                   |                                  ttwu_do_activate() {
             ssh-24099 [003] 76622.819813: funcgraph_entry:                   |                                    activate_task() {
             ssh-24099 [003] 76622.819813: funcgraph_entry:                   |                                      psi_task_change() {
             ssh-24099 [003] 76622.819814: funcgraph_entry:        0.447 us   |                                        record_times();
             ssh-24099 [003] 76622.819814: funcgraph_entry:        0.290 us   |                                        record_times();
             ssh-24099 [003] 76622.819815: funcgraph_entry:        0.281 us   |                                        record_times();
             ssh-24099 [003] 76622.819815: funcgraph_entry:        0.243 us   |                                        record_times();
             ssh-24099 [003] 76622.819815: funcgraph_exit:         2.473 us   |                                      }
             ssh-24099 [003] 76622.819816: funcgraph_entry:                   |                                      enqueue_task_fair() {
             ssh-24099 [003] 76622.819816: funcgraph_entry:                   |                                        enqueue_entity() {
             ssh-24099 [003] 76622.819816: funcgraph_entry:        0.224 us   |                                          update_curr();
             ssh-24099 [003] 76622.819817: funcgraph_entry:                   |                                          __update_load_avg_se() {
             ssh-24099 [003] 76622.819817: funcgraph_entry:        0.242 us   |                                            __accumulate_pelt_segments();
             ssh-24099 [003] 76622.819817: funcgraph_exit:         0.758 us   |                                          }
             ssh-24099 [003] 76622.819818: funcgraph_entry:                   |                                          __update_load_avg_cfs_rq() {
             ssh-24099 [003] 76622.819818: funcgraph_entry:        0.227 us   |                                            __accumulate_pelt_segments();
             ssh-24099 [003] 76622.819818: funcgraph_exit:         0.675 us   |                                          }
             ssh-24099 [003] 76622.819818: funcgraph_entry:        0.230 us   |                                          update_cfs_group();
             ssh-24099 [003] 76622.819819: funcgraph_entry:        0.236 us   |                                          account_entity_enqueue();
             ssh-24099 [003] 76622.819819: funcgraph_entry:        0.221 us   |                                          place_entity();
             ssh-24099 [003] 76622.819820: funcgraph_entry:        0.229 us   |                                          __enqueue_entity();
             ssh-24099 [003] 76622.819820: funcgraph_exit:         4.240 us   |                                        }
             ssh-24099 [003] 76622.819820: funcgraph_entry:                   |                                        enqueue_entity() {
             ssh-24099 [003] 76622.819821: funcgraph_entry:        0.227 us   |                                          update_curr();
             ssh-24099 [003] 76622.819821: funcgraph_entry:                   |                                          __update_load_avg_se() {
             ssh-24099 [003] 76622.819821: funcgraph_entry:        0.237 us   |                                            __accumulate_pelt_segments();
             ssh-24099 [003] 76622.819822: funcgraph_exit:         0.786 us   |                                          }
             ssh-24099 [003] 76622.819822: funcgraph_entry:                   |                                          __update_load_avg_cfs_rq() {
             ssh-24099 [003] 76622.819822: funcgraph_entry:        0.222 us   |                                            __accumulate_pelt_segments();
             ssh-24099 [003] 76622.819823: funcgraph_exit:         0.665 us   |                                          }
             ssh-24099 [003] 76622.819823: funcgraph_entry:                   |                                          update_cfs_group() {
             ssh-24099 [003] 76622.819823: funcgraph_entry:        0.260 us   |                                            reweight_entity();
             ssh-24099 [003] 76622.819824: funcgraph_exit:         0.725 us   |                                          }
             ssh-24099 [003] 76622.819824: funcgraph_entry:        0.231 us   |                                          account_entity_enqueue();
             ssh-24099 [003] 76622.819824: funcgraph_entry:        0.233 us   |                                          place_entity();
