CPU 2 is empty
cpus=4
             ssh-3222  [001]  4278.019710: funcgraph_entry:        0.391 us   |            preempt_count_sub();
             ssh-3222  [001]  4278.019711: funcgraph_exit:         1.111 us   |          }
             ssh-3222  [001]  4278.019711: funcgraph_exit:         4.116 us   |        }
             ssh-3222  [001]  4278.019711: funcgraph_exit:         4.897 us   |      }
             ssh-3222  [001]  4278.019712: funcgraph_entry:                   |      __wake_up() {
             ssh-3222  [001]  4278.019712: funcgraph_entry:                   |        __wake_up_common_lock() {
             ssh-3222  [001]  4278.019713: funcgraph_entry:                   |          __lock_text_start() {
             ssh-3222  [001]  4278.019713: funcgraph_entry:        0.358 us   |            preempt_count_add();
             ssh-3222  [001]  4278.019714: funcgraph_exit:         1.063 us   |          }
             ssh-3222  [001]  4278.019714: funcgraph_entry:                   |          __wake_up_common() {
             ssh-3222  [001]  4278.019715: funcgraph_entry:                   |            autoremove_wake_function() {
             ssh-3222  [001]  4278.019715: funcgraph_entry:                   |              default_wake_function() {
             ssh-3222  [001]  4278.019716: funcgraph_entry:                   |                try_to_wake_up() {
             ssh-3222  [001]  4278.019716: funcgraph_entry:                   |                  __lock_text_start() {
             ssh-3222  [001]  4278.019716: funcgraph_entry:        0.358 us   |                    preempt_count_add();
             ssh-3222  [001]  4278.019717: funcgraph_exit:         1.274 us   |                  }
             ssh-3222  [001]  4278.019719: funcgraph_entry:                   |                  select_task_rq_fair() {
             ssh-3222  [001]  4278.019719: funcgraph_entry:        0.405 us   |                    __rcu_read_lock();
             ssh-3222  [001]  4278.019720: funcgraph_entry:        0.385 us   |                    available_idle_cpu();
             ssh-3222  [001]  4278.019721: funcgraph_entry:        0.992 us   |                    update_cfs_rq_h_load();
             ssh-3222  [001]  4278.019723: funcgraph_entry:                   |                    select_idle_sibling() {
             ssh-3222  [001]  4278.019723: funcgraph_entry:        0.437 us   |                      available_idle_cpu();
             ssh-3222  [001]  4278.019724: funcgraph_exit:         1.175 us   |                    }
             ssh-3222  [001]  4278.019724: funcgraph_entry:        0.409 us   |                    __rcu_read_unlock();
             ssh-3222  [001]  4278.019725: funcgraph_exit:         6.388 us   |                  }
             ssh-3222  [001]  4278.019726: funcgraph_entry:                   |                  _raw_spin_lock() {
             ssh-3222  [001]  4278.019726: funcgraph_entry:        0.379 us   |                    preempt_count_add();
             ssh-3222  [001]  4278.019727: funcgraph_exit:         1.158 us   |                  }
             ssh-3222  [001]  4278.019727: funcgraph_entry:                   |                  update_rq_clock() {
             ssh-3222  [001]  4278.019728: funcgraph_entry:        0.488 us   |                    update_irq_load_avg();
             ssh-3222  [001]  4278.019728: funcgraph_exit:         1.284 us   |                  }
             ssh-3222  [001]  4278.019729: funcgraph_entry:                   |                  ttwu_do_activate() {
             ssh-3222  [001]  4278.019729: funcgraph_entry:                   |                    activate_task() {
             ssh-3222  [001]  4278.019730: funcgraph_entry:                   |                      psi_task_change() {
             ssh-3222  [001]  4278.019731: funcgraph_entry:        0.823 us   |                        record_times();
             ssh-3222  [001]  4278.019732: funcgraph_entry:        0.669 us   |                        record_times();
             ssh-3222  [001]  4278.019733: funcgraph_entry:        0.595 us   |                        record_times();
             ssh-3222  [001]  4278.019734: funcgraph_entry:        0.407 us   |                        record_times();
             ssh-3222  [001]  4278.019734: funcgraph_exit:         4.825 us   |                      }
             ssh-3222  [001]  4278.019735: funcgraph_entry:                   |                      enqueue_task_fair() {
             ssh-3222  [001]  4278.019735: funcgraph_entry:                   |                        enqueue_entity() {
             ssh-3222  [001]  4278.019736: funcgraph_entry:        0.409 us   |                          update_curr();
             ssh-3222  [001]  4278.019737: funcgraph_entry:                   |                          __update_load_avg_se() {
             ssh-3222  [001]  4278.019737: funcgraph_entry:        0.414 us   |                            __accumulate_pelt_segments();
             ssh-3222  [001]  4278.019738: funcgraph_exit:         1.420 us   |                          }
             ssh-3222  [001]  4278.019738: funcgraph_entry:                   |                          __update_load_avg_cfs_rq() {
             ssh-3222  [001]  4278.019739: funcgraph_entry:        0.409 us   |                            __accumulate_pelt_segments();
             ssh-3222  [001]  4278.019740: funcgraph_exit:         1.316 us   |                          }
             ssh-3222  [001]  4278.019740: funcgraph_entry:        0.401 us   |                          update_cfs_group();
             ssh-3222  [001]  4278.019741: funcgraph_entry:        0.500 us   |                          account_entity_enqueue();
             ssh-3222  [001]  4278.019742: funcgraph_entry:        0.422 us   |                          place_entity();
             ssh-3222  [001]  4278.019742: funcgraph_entry:        0.410 us   |                          __enqueue_entity();
             ssh-3222  [001]  4278.019743: funcgraph_exit:         7.862 us   |                        }
             ssh-3222  [001]  4278.019744: funcgraph_entry:                   |                        enqueue_entity() {
             ssh-3222  [001]  4278.019744: funcgraph_entry:        0.375 us   |                          update_curr();
             ssh-3222  [001]  4278.019745: funcgraph_entry:                   |                          __update_load_avg_se() {
             ssh-3222  [001]  4278.019745: funcgraph_entry:        0.388 us   |                            __accumulate_pelt_segments();
             ssh-3222  [001]  4278.019746: funcgraph_exit:         1.239 us   |                          }
             ssh-3222  [001]  4278.019746: funcgraph_entry:                   |                          __update_load_avg_cfs_rq() {
             ssh-3222  [001]  4278.019747: funcgraph_entry:        0.398 us   |                            __accumulate_pelt_segments();
             ssh-3222  [001]  4278.019747: funcgraph_exit:         1.151 us   |                          }
             ssh-3222  [001]  4278.019748: funcgraph_entry:                   |                          update_cfs_group() {
             ssh-3222  [001]  4278.019748: funcgraph_entry:        0.452 us   |                            reweight_entity();
             ssh-3222  [001]  4278.019749: funcgraph_exit:         1.217 us   |                          }
             ssh-3222  [001]  4278.019749: funcgraph_entry:        0.443 us   |                          account_entity_enqueue();
             ssh-3222  [001]  4278.019750: funcgraph_entry:        0.398 us   |                          place_entity();
             ssh-3222  [001]  4278.019751: funcgraph_entry:        0.372 us   |                          __enqueue_entity();
             ssh-3222  [001]  4278.019752: funcgraph_exit:         7.991 us   |                        }
             ssh-3222  [001]  4278.019752: funcgraph_entry:        0.375 us   |                        hrtick_update();
             ssh-3222  [001]  4278.019753: funcgraph_exit:       + 18.354 us  |                      }
             ssh-3222  [001]  4278.019753: funcgraph_exit:       + 24.459 us  |                    }
             ssh-3222  [001]  4278.019754: funcgraph_entry:                   |                    ttwu_do_wakeup.isra.4() {
             ssh-3222  [001]  4278.019754: funcgraph_entry:                   |                      check_preempt_curr() {
             ssh-3222  [001]  4278.019755: funcgraph_entry:        0.450 us   |                        resched_curr();
             ssh-3222  [001]  4278.019756: funcgraph_exit:         1.657 us   |                      }
             ssh-3222  [001]  4278.019757: funcgraph_exit:         3.156 us   |                    }
             ssh-3222  [001]  4278.019758: funcgraph_exit:       + 29.078 us  |                  }
             ssh-3222  [001]  4278.019758: funcgraph_entry:                   |                  _raw_spin_unlock() {
             ssh-3222  [001]  4278.019759: funcgraph_entry:        0.577 us   |                    preempt_count_sub();
             ssh-3222  [001]  4278.019760: funcgraph_exit:         1.594 us   |                  }
             ssh-3222  [001]  4278.019760: funcgraph_entry:        0.579 us   |                  ttwu_stat();
             ssh-3222  [001]  4278.019761: funcgraph_entry:                   |                  _raw_spin_unlock_irqrestore() {
             ssh-3222  [001]  4278.019762: funcgraph_entry:        0.568 us   |                    preempt_count_sub();
             ssh-3222  [001]  4278.019763: funcgraph_exit:         1.667 us   |                  }
             ssh-3222  [001]  4278.019763: funcgraph_exit:       + 47.801 us  |                }
             ssh-3222  [001]  4278.019764: funcgraph_exit:       + 48.714 us  |              }
